Survived,Pclass,Age,SibSp,Parch,Fare,Embarked,male,female
0,3,41,2,0,14.1083,0,1,0
1,1,24,0,0,83.1583,1,0,1
0,3,28,2,0,7.925,0,1,0
1,1,52,1,0,78.2667,1,0,1
0,1,29,1,0,66.6,0,1,0
0,1,25,1,2,151.55,0,0,1
0,3,17,0,0,8.6625,0,1,0
1,3,1,1,2,20.575,0,1,0
0,3,35,0,0,7.125,0,1,0
1,1,36,0,2,71,0,0,1
0,3,21,0,0,7.25,0,1,0
1,1,50,2,0,133.65,0,1,0
0,2,29,1,0,21,0,1,0
1,3,22,0,0,7.225,1,1,0
0,3,47,0,0,9,0,1,0
1,3,9,0,2,20.525,0,1,0
1,1,23,1,0,113.275,1,0,1
0,1,40,0,0,27.7208,1,1,0
1,3,0.42,0,1,8.5167,1,1,0
0,3,30,0,0,7.8958,0,1,0
1,1,33,0,0,86.5,0,0,1
0,3,20,0,0,8.6625,0,0,1
0,1,62,0,0,26.55,0,1,0
1,1,29,0,0,211.3375,0,0,1
0,2,21,0,0,73.5,0,1,0
1,3,22,0,0,7.25,0,0,1
0,3,8,4,1,29.125,2,1,0
0,2,32,0,0,10.5,0,1,0
1,2,24,1,2,65,0,0,1
0,1,31,0,0,50.4958,0,1,0
0,3,36,0,0,7.4958,0,1,0
0,2,39,0,0,13,0,1,0
1,3,18,0,1,9.35,0,0,1
0,3,26,1,0,7.8542,0,1,0
0,2,54,0,0,14,0,1,0
0,3,23,0,0,7.8542,0,1,0
1,3,1,1,1,11.1333,0,0,1
1,3,1,0,2,15.7417,1,0,1
0,3,33,0,0,8.6625,1,1,0
1,2,29,1,0,26,0,0,1
0,3,18,0,0,8.3,0,1,0
1,3,18,0,0,7.4958,0,0,1
1,3,30,0,0,9.5,0,1,0
1,2,18,0,1,23,0,0,1
0,1,37,1,0,53.1,0,1,0
1,3,5,4,2,31.3875,0,0,1
0,3,29,0,0,8.05,0,1,0
0,3,32,0,0,8.3625,0,1,0
0,1,45,0,0,35.5,0,1,0
1,3,24,0,3,19.2583,1,0,1
0,1,45.5,0,0,28.5,0,1,0
0,2,54,0,0,26,0,1,0
1,1,51,1,0,77.9583,0,0,1
1,1,24,3,2,263,0,0,1
0,3,21,2,2,34.375,0,0,1
0,2,39,0,0,13,0,1,0
0,3,45,0,0,6.975,0,1,0
0,2,57,0,0,12.35,2,1,0
0,3,36,0,0,0,0,1,0
0,2,21,2,0,73.5,0,1,0
0,2,24,0,0,10.5,0,1,0
0,1,55,0,0,30.5,0,1,0
1,1,32,0,0,76.2917,1,0,1
1,1,15,0,1,211.3375,0,0,1
0,2,59,0,0,13.5,0,1,0
1,2,31,1,1,26.25,0,0,1
1,1,21,2,2,262.375,1,0,1
1,1,36,1,2,120,0,0,1
1,2,55,0,0,16,0,0,1
0,3,70.5,0,0,7.75,2,1,0
1,3,26,0,0,7.8542,0,0,1
1,3,29,0,0,7.75,2,1,0
1,3,27,0,2,11.1333,0,0,1
0,3,17,0,0,14.4583,1,0,1
0,3,22,0,0,9,0,1,0
1,2,42,1,0,26,0,0,1
0,3,25,1,0,7.925,0,0,1
1,2,25,1,1,30,0,0,1
0,2,24,2,0,73.5,0,1,0
0,3,39,0,0,7.925,0,1,0
0,1,36,0,0,40.125,1,1,0
0,2,46,0,0,26,0,1,0
0,1,45,0,0,26.55,0,1,0
1,2,33,1,2,27.75,0,0,1
1,3,25,0,0,0,0,1,0
0,1,38,0,1,153.4625,0,1,0
1,1,45,1,1,164.8667,0,0,1
0,3,31,0,0,7.8542,0,0,1
0,3,39,0,5,29.125,2,0,1
1,1,24,0,0,69.3,1,0,1
0,1,58,0,2,113.275,1,1,0
0,3,17,0,0,8.6625,0,1,0
0,2,23,0,0,13,0,1,0
1,3,20,1,0,7.925,0,1,0
1,1,44,0,0,27.7208,1,0,1
0,2,19,1,1,36.75,0,1,0
1,1,42,0,0,26.2875,0,1,0
1,1,45,0,0,26.55,0,1,0
0,2,35,0,0,26,0,1,0
1,3,4,1,1,16.7,0,0,1
0,3,28,1,1,14.4,0,0,1
1,2,29,1,0,26,0,0,1
0,3,43,1,6,46.9,0,0,1
0,3,1,4,1,39.6875,0,1,0
1,2,42,0,0,13,0,0,1
1,1,30,0,0,93.5,0,0,1
1,2,28,0,0,13,0,0,1
0,3,55.5,0,0,8.05,0,1,0
1,1,35,1,0,83.475,0,0,1
1,1,47,1,1,52.5542,0,0,1
0,3,18,0,0,7.7958,0,1,0
0,3,25,1,0,17.8,0,1,0
0,3,19,0,0,14.5,0,1,0
0,3,14.5,1,0,14.4542,1,0,1
0,3,28,0,0,7.8958,0,1,0
0,3,45,1,4,27.9,0,0,1
1,1,60,1,0,75.25,1,0,1
0,3,20,0,0,4.0125,1,1,0
1,3,20,1,1,15.7417,1,1,0
0,1,70,1,1,71,0,1,0
0,3,20,0,0,7.925,0,1,0
0,3,16,0,0,8.05,0,1,0
0,1,37,0,1,29.7,1,1,0
0,3,61,0,0,6.2375,0,1,0
0,1,49,1,1,110.8833,1,1,0
1,3,26,0,0,7.925,0,0,1
1,2,1,0,2,37.0042,1,1,0
0,2,31,1,1,26.25,0,1,0
0,1,50,1,0,106.425,1,1,0
0,3,48,0,0,7.8542,0,1,0
0,3,45,0,0,7.75,0,0,1
0,3,16,0,0,7.775,0,1,0
0,3,23,0,0,7.925,0,0,1
1,3,0.75,2,1,19.2583,1,0,1
1,2,32,0,0,13,0,0,1
0,3,14,0,0,7.8542,0,0,1
0,2,54,1,0,26,0,1,0
1,3,5,0,0,12.475,0,0,1
1,3,16,0,0,7.75,2,0,1
1,1,53,2,0,51.4792,0,0,1
0,1,21,0,1,77.2875,0,1,0
1,2,2,1,1,26,0,0,1
1,3,3,4,2,31.3875,0,1,0
0,3,24,0,0,8.05,0,1,0
1,1,17,1,0,108.9,1,0,1
0,3,31,0,0,7.75,2,1,0
0,3,25,0,0,7.65,0,1,0
0,2,25,0,0,13,0,1,0
0,3,19,0,0,0,0,1,0
1,2,28,1,0,24,1,0,1
1,1,17,1,0,57,0,0,1
0,3,39,0,0,24.15,0,1,0
0,3,24,1,0,16.1,0,1,0
0,2,26,1,1,26,0,0,1
1,1,38,1,0,90,0,1,0
0,3,19,0,0,7.775,0,1,0
1,1,16,0,1,39.4,0,0,1
1,1,56,0,1,83.1583,1,0,1
1,2,54,1,3,23,0,0,1
0,3,32,1,1,15.5,2,0,1
0,3,28.5,0,0,7.2292,1,1,0
0,3,26,0,0,7.8875,0,1,0
0,1,64,1,4,263,0,1,0
0,3,33,0,0,7.775,0,1,0
1,1,35,0,0,26.55,1,1,0
0,3,34,0,0,6.4958,0,1,0
0,1,33,0,0,5,0,1,0
0,2,36,0,0,13,0,1,0
1,3,27,0,0,8.6625,0,1,0
1,2,6,0,1,33,0,0,1
0,3,26,2,0,8.6625,0,1,0
1,1,36,0,0,135.6333,1,0,1
1,3,24,0,2,16.7,0,0,1
0,3,26,1,2,20.575,0,1,0
1,1,21,0,0,77.9583,0,0,1
1,3,3,1,1,15.9,0,1,0
0,3,9,2,2,34.375,0,0,1
0,1,42,1,0,52,0,1,0
0,1,54,0,0,51.8625,0,1,0
0,1,47,0,0,25.5875,0,1,0
0,2,31,1,1,37.0042,1,1,0
0,1,50,0,0,28.7125,1,0,1
0,3,40.5,0,2,14.5,0,1,0
0,1,52,1,1,79.65,0,1,0
0,3,7,4,1,39.6875,0,1,0
1,3,23,0,0,7.55,0,0,1
0,3,47,0,0,7.25,0,1,0
0,3,34,0,0,8.05,0,1,0
1,3,33,3,0,15.85,0,0,1
0,2,34,1,0,21,0,1,0
1,1,11,1,2,120,0,1,0
0,1,71,0,0,34.6542,1,1,0
1,3,32,0,0,56.4958,0,1,0
1,3,44,0,0,7.925,0,1,0
0,1,28,1,0,82.1708,1,1,0
0,3,9,5,2,46.9,0,1,0
0,3,18,0,0,6.75,2,0,1
0,2,27,0,0,13,0,1,0
0,3,28,1,0,15.85,0,1,0
1,1,49,1,0,76.7292,1,0,1
1,2,1,2,1,39,0,1,0
0,3,22,0,0,7.2292,1,1,0
1,3,22,0,0,7.75,0,0,1
0,2,34,1,0,21,0,1,0
0,3,17,0,0,8.6625,0,1,0
0,3,8,3,1,21.075,0,0,1
1,1,39,1,1,83.1583,1,0,1
1,2,45,0,0,13.5,0,0,1
0,1,47,0,0,52,0,1,0
0,3,18,0,0,7.775,0,0,1
0,1,22,0,0,135.6333,1,1,0
1,2,17,0,0,12,1,0,1
1,3,26,0,0,18.7875,1,1,0
0,3,32,1,0,15.85,0,1,0
0,3,35,0,0,7.05,0,1,0
0,2,19,0,0,13,0,1,0
1,2,30,0,0,12.35,2,0,1
1,1,35,0,0,135.6333,0,0,1
1,2,31,0,0,13,0,1,0
0,3,22,0,0,8.05,0,1,0
0,3,27,0,0,7.8958,0,1,0
1,3,22,0,0,7.775,0,0,1
0,3,21,0,0,7.775,0,1,0
0,3,22,0,0,7.125,0,1,0
1,1,54,1,0,59.4,1,0,1
0,3,21,1,0,9.825,0,0,1
1,3,18,0,0,8.05,0,1,0
0,1,30,0,0,27.75,1,1,0
0,3,43,0,0,8.05,0,1,0
0,2,30,0,0,13,0,1,0
0,3,18,0,0,7.75,0,1,0
0,3,22,0,0,7.7958,0,1,0
1,3,18,0,0,9.8417,0,0,1
0,3,21,0,0,8.05,0,1,0
0,2,27,0,0,13,0,1,0
0,3,19,0,0,7.65,0,1,0
0,3,2,4,2,31.275,0,0,1
0,3,42,0,0,8.6625,0,1,0
0,3,38,0,0,8.6625,0,1,0
0,3,40,0,0,7.8958,0,1,0
0,3,2,0,1,10.4625,0,0,1
1,2,17,0,0,10.5,0,0,1
0,3,22,0,0,7.5208,0,1,0
1,2,3,1,2,41.5792,1,0,1
0,3,35,0,0,8.05,0,1,0
0,3,19,0,0,7.8958,0,1,0
1,2,45,1,1,26.25,0,0,1
0,3,32,0,0,7.75,2,1,0
0,3,24.5,0,0,8.05,0,1,0
0,3,2,4,1,29.125,2,1,0
0,3,42,0,0,7.55,0,1,0
1,1,48,0,0,25.9292,0,0,1
0,3,40,1,0,9.475,0,0,1
0,2,52,0,0,13,0,1,0
1,1,58,0,0,26.55,0,0,1
0,3,40,1,4,27.9,0,1,0
0,3,47,1,0,14.5,0,0,1
1,2,30,3,0,21,0,0,1
1,1,30,0,0,86.5,0,0,1
1,1,48,1,0,39.6,1,0,1
1,2,48,1,2,65,0,0,1
0,1,62,0,0,26.55,0,1,0
1,2,7,0,2,26.25,0,0,1
0,3,4,4,1,29.125,2,1,0
1,2,32,1,0,26,0,1,0
1,1,44,0,1,57.9792,1,0,1
0,2,31,0,0,10.5,0,1,0
0,3,20,0,0,7.8542,0,1,0
1,1,23,0,1,63.3583,1,1,0
0,3,28,0,0,9.5,0,1,0
0,3,40,1,1,15.5,2,1,0
0,3,11,5,2,46.9,0,1,0
1,3,24,0,0,7.1417,0,1,0
0,1,64,0,0,26,0,1,0
1,3,17,4,2,7.925,0,0,1
0,3,44,0,0,8.05,0,1,0
0,2,39,0,0,26,0,1,0
0,3,31,0,0,7.775,0,1,0
0,3,22,0,0,7.8958,0,1,0
1,2,25,0,1,26,0,0,1
1,2,34,0,0,13,0,0,1
0,3,30,1,0,16.1,0,1,0
0,3,24,0,0,9.5,0,1,0
0,1,18,1,0,108.9,1,1,0
0,3,19,0,0,8.05,0,1,0
1,1,54,1,0,78.2667,1,0,1
0,3,20,0,0,9.5,0,1,0
1,1,14,1,2,120,0,0,1
1,3,27,0,1,12.475,0,0,1
0,3,21,0,0,7.8542,0,1,0
1,3,2,0,1,12.2875,0,0,1
1,2,34,0,1,23,0,0,1
0,2,25,0,0,13,0,1,0
1,1,36,0,0,26.3875,0,1,0
1,2,19,0,0,10.5,0,1,0
0,3,24,0,0,7.4958,0,1,0
0,2,25,1,2,41.5792,1,1,0
0,3,30.5,0,0,8.05,0,1,0
0,3,34,1,1,14.4,0,1,0
1,1,31,1,0,113.275,1,0,1
0,1,36,1,0,78.85,0,1,0
1,2,21,0,0,10.5,0,0,1
1,3,35,1,1,20.25,0,0,1
1,1,52,1,1,93.5,0,0,1
1,1,40,0,0,153.4625,0,0,1
1,3,6,0,1,12.475,0,1,0
0,2,25,0,0,13,0,1,0
1,1,48,1,0,76.7292,1,1,0
0,2,51,0,0,12.525,0,1,0
0,3,44,0,1,16.1,0,1,0
0,2,16,0,0,26,0,1,0
0,3,18,1,0,17.8,0,0,1
0,3,34,0,0,8.05,0,1,0
0,1,47,0,0,34.0208,0,1,0
1,1,33,1,0,53.1,0,0,1
1,3,24,1,0,15.85,0,0,1
1,3,5,2,1,19.2583,1,0,1
0,3,21,0,0,16.1,0,1,0
0,3,16,0,0,9.2167,0,1,0
1,2,35,0,0,21,0,0,1
1,3,39,0,0,7.925,0,1,0
1,3,12,1,0,11.2417,1,1,0
0,2,42,0,0,13,0,1,0
1,2,24,1,0,26,0,0,1
0,2,38,0,0,13,0,0,1
1,3,45,0,0,8.05,0,1,0
0,3,25,0,0,7.225,1,1,0
0,2,35,0,0,10.5,0,1,0
0,3,18,1,0,6.4958,0,1,0
0,3,1,5,2,46.9,0,1,0
0,3,37,0,0,9.5875,0,0,1
0,3,17,1,0,7.0542,0,1,0
0,2,43,1,1,26.25,0,1,0
0,3,9,4,2,31.3875,0,1,0
0,3,19,0,0,7.8958,0,1,0
1,2,50,0,0,10.5,0,0,1
1,2,18,0,2,13,0,0,1
0,3,30,0,0,8.6625,0,0,1
0,2,18,0,0,13,0,1,0
0,3,43,0,0,6.45,0,1,0
1,1,24,0,0,69.3,1,0,1
0,3,33,1,1,20.525,0,1,0
1,1,17,0,2,110.8833,1,1,0
1,2,30,0,0,13,0,0,1
1,1,18,1,0,227.525,1,0,1
1,1,22,1,0,66.6,0,0,1
1,3,29,0,2,15.2458,1,0,1
0,1,24,0,1,247.5208,1,1,0
1,1,31,1,0,57,0,1,0
1,2,8,1,1,36.75,0,1,0
0,3,21,0,0,7.925,0,1,0
0,3,34.5,0,0,6.4375,1,1,0
1,1,48,1,0,52,0,1,0
0,3,22,1,0,7.25,0,1,0
1,1,25,1,0,91.0792,1,1,0
1,2,41,0,1,19.5,0,0,1
0,3,24,0,0,7.05,0,1,0
0,3,14,5,2,46.9,0,1,0
0,3,19,0,0,6.75,2,1,0
0,3,4,3,2,27.9,0,1,0
0,3,18,2,0,18,0,0,1
1,1,25,1,0,55.4417,1,1,0
1,1,36,0,1,512.3292,1,1,0
0,3,19,0,0,7.8958,0,1,0
1,1,38,1,0,71.2833,1,0,1
0,3,32,0,0,7.925,0,1,0
0,1,45,1,0,83.475,0,1,0
0,3,28,0,0,7.8958,0,0,1
1,2,36,1,0,26,0,0,1
1,1,63,1,0,77.9583,0,0,1
0,3,20,0,0,9.8458,0,1,0
1,3,27,0,0,7.7958,0,1,0
0,3,25,0,0,7.05,0,1,0
0,3,17,1,1,7.2292,1,1,0
1,3,19,1,0,7.8542,0,0,1
0,1,60,0,0,26.55,0,1,0
0,3,31,1,0,18,0,0,1
0,3,26,0,0,7.8958,0,1,0
0,2,23,0,0,10.5,0,1,0
0,2,23,0,0,15.0458,1,1,0
0,3,27,1,0,14.4542,1,1,0
0,3,30,0,0,8.05,0,1,0
1,1,58,0,1,153.4625,0,0,1
1,3,20,0,0,7.2292,1,1,0
0,3,18,1,1,20.2125,0,1,0
1,1,39,1,0,55.9,0,0,1
0,3,42,0,1,8.4042,0,1,0
0,1,38,0,0,0,0,1,0
0,3,9,4,2,31.275,0,0,1
0,3,26,0,0,7.8958,0,1,0
1,3,22,0,0,7.75,2,0,1
0,3,24,0,0,7.8958,0,1,0
0,3,20.5,0,0,7.25,0,1,0
0,3,25,0,0,7.775,0,0,1
0,3,30,0,0,7.2292,1,1,0
1,3,32,0,0,7.8542,0,1,0
0,3,22,0,0,7.25,0,1,0
1,1,35,0,0,512.3292,1,1,0
0,1,31,1,0,52,0,1,0
0,3,16,5,2,46.9,0,0,1
1,3,29,0,0,7.8958,1,1,0
0,1,46,0,0,79.2,1,1,0
0,3,10,0,2,24.15,0,0,1
1,1,50,0,1,247.5208,1,0,1
0,3,4,4,2,31.275,0,1,0
1,2,0.67,1,1,14.5,0,1,0
0,1,51,0,1,61.3792,1,1,0
1,2,2,1,1,26,0,1,0
0,3,26,1,0,14.4542,1,1,0
0,3,39,1,5,31.275,0,0,1
0,3,41,0,0,7.125,0,1,0
1,1,22,0,2,49.5,1,0,1
0,2,28,0,0,13,0,1,0
0,3,48,1,3,34.375,0,0,1
